,ppid,targetoccurence,targetnumber,trialn,CurrentAudio,RT,ResponseCategory,Target1,Target2,Target3
0,P01,0.4,1,0,f,-1.0,4,o,,
1,P01,0.4,1,0,a,-1.0,4,o,,
2,P01,0.4,1,0,s,-1.0,4,o,,
3,P01,0.4,1,0,o,0.5663470335761147,1,o,,
4,P01,0.4,1,0,y,-1.0,4,o,,
5,P01,0.4,1,0,o,0.6829812660416472,1,o,,
6,P01,0.4,1,0,j,-1.0,4,o,,
7,P01,0.4,1,0,i,-1.0,4,o,,
8,P01,0.4,1,0,y,-1.0,4,o,,
9,P01,0.4,1,1,r,-1.0,4,b,,
10,P01,0.4,1,1,a,-1.0,4,b,,
11,P01,0.4,1,1,m,-1.0,4,b,,
12,P01,0.4,1,1,i,-1.0,4,b,,
13,P01,0.4,1,1,b,0.5162604166006375,1,b,,
14,P01,0.4,1,1,a,-1.0,4,b,,
15,P01,0.4,1,1,f,-1.0,4,b,,
16,P01,0.4,1,1,a,-1.0,4,b,,
17,P01,0.4,1,1,a,-1.0,4,b,,
18,P01,0.4,1,2,b,0.9331179303930952,1,b,,
19,P01,0.4,1,2,b,0.5831394676685804,1,b,,
20,P01,0.4,1,2,b,0.5829239439867848,1,b,,
21,P01,0.4,1,2,l,-1.0,4,b,,
22,P01,0.4,1,2,t,-1.0,4,b,,
23,P01,0.4,1,2,b,0.6494434870645023,1,b,,
24,P01,0.4,1,2,s,-1.0,4,b,,
25,P01,0.4,1,2,y,-1.0,4,b,,
26,P01,0.4,1,2,b,0.5663624281248119,1,b,,
27,P01,0.4,3,3,o,0.7664846185819414,1,o,b,h
28,P01,0.4,3,3,m,-1.0,4,o,b,h
29,P01,0.4,3,3,j,-1.0,4,o,b,h
30,P01,0.4,3,3,n,-1.0,4,o,b,h
31,P01,0.4,3,3,k,-1.0,4,o,b,h
32,P01,0.4,3,3,s,-1.0,4,o,b,h
33,P01,0.4,3,3,b,0.5829508089835258,1,o,b,h
34,P01,0.4,3,3,b,0.5495980664446733,1,o,b,h
35,P01,0.4,3,3,n,-1.0,4,o,b,h
36,P01,0.4,3,4,b,0.7331847004749079,1,h,o,b
37,P01,0.4,3,4,a,-1.0,4,h,o,b
38,P01,0.4,3,4,r,-1.0,4,h,o,b
39,P01,0.4,3,4,h,0.6329287585564174,1,h,o,b
40,P01,0.4,3,4,t,-1.0,4,h,o,b
41,P01,0.4,3,4,f,-1.0,4,h,o,b
42,P01,0.4,3,4,i,-1.0,4,h,o,b
43,P01,0.4,3,4,o,0.7162395283110357,1,h,o,b
44,P01,0.4,3,4,y,-1.0,4,h,o,b
45,P01,0.4,3,5,l,-1.0,4,h,b,o
46,P01,0.4,3,5,j,-1.0,4,h,b,o
47,P01,0.4,3,5,a,-1.0,4,h,b,o
48,P01,0.4,3,5,o,0.9497518911901182,1,h,b,o
49,P01,0.4,3,5,b,0.7496013264667738,1,h,b,o
50,P01,0.4,3,5,a,-1.0,4,h,b,o
51,P01,0.4,3,5,b,0.7497223698790947,1,h,b,o
52,P01,0.4,3,5,a,-1.0,4,h,b,o
53,P01,0.4,3,5,s,-1.0,4,h,b,o
54,P01,0.4,3,5,h,0.9830207183458696,1,h,b,o
